question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags
1,What is the size of int in Java?,2 bytes,4 bytes,8 bytes,Depends on OS,B,Easy,Language Specific,Java," Java, Data Types"
2,What does SQL stand for?,Structured Question Language, Strong Query Language, Structured Query Language,Simple Query Language,C,Easy,Databases & SQL,SQL Basics," SQL, Databases"
3,Which AWS service is used for object storage?,EC2,RDS,S3,Lambda,C,Easy,Cloud,AWS Basics," AWS, Cloud"
4, React is a ____ based library?,UI,Database,Server, Security,A,Easy,Web Development, React," React, Frontend"
5,Which tag is used for inserting JavaScript into HTML?,<js>, <script>,<javascript>,<code>,B,Easy,Web Development,JavaScript,"JavaScript, HTML"
6,What tag is used to link a CSS file in HTML?,<css>,<link>,<style>,<script>,B,Easy,Web Development,HTML & CSS,"html, css, frontend"
7, Which command is used to create a virtual environment in Python?, pip install env, python -m venv myenv, python create-env,venv python,B,Medium,Language Specific,Python Environment,"python, venv"
8,Which annotation is used for dependency injection in Spring?,Service,Component, Autowired,Injectable,C,Medium,Object-Oriented Programming (OOP),Spring Boot,"spring, annotations, di"
9,Which of the following is a valid C++ data type?, integer, bool,str, var,B,Easy,Language Specific, C++ Basics,"c++, types"
10,What does HTML stand for?,Hyper Text Markup Language,Home Tool Markup Language,Hyperlinks and Text Markup Language,Hyper Tool Multi Language,A,Easy,Web Development,HTML Basics," html, web, markup"
11,Which keyword is used to create a subclass in Java?, inherit, extends,implements,instanceof,B,Medium,Object-Oriented Programming (OOP),Inheritance," java, inheritance"
12,Which method is used to parse a JSON string in JavaScript?,JSON.stringify(),JSON.parse(),parseJSON(), toJSON(),B,Medium,Language Specific,JavaScript Basics," javascript, json"
13, Which data structure uses LIFO?,Queue,Array, Stack, Linked List,C,Easy,Data Structures & Algorithms,Stacks,"stack, lifo"
14, What does HTML stand for?,Hyper Text Machine Language, High Text Markup Language, Hyper Text Markup Language,Hyperlink and Text Markup Language,C,Easy,Web Development,HTML,"html, markup, frontend"
15,What keyword is used for inheritance in Java?, implements,inherits,extends,super,C,Easy,Object-Oriented Programming (OOP),Inheritance,"java, oop, inheritance"
16,Which AWS service is used for compute?,S3,Lambda,EC2, RDS,C,Easy,Cloud,AWS," aws, ec2, cloud"
17,Which lifecycle method runs after component mounts in React?,componentDidMount, useEffect, render,componentWillMount,A,Medium,Web Development, React," react, lifecycle"
18,What symbol is used for single-line comment in C++?, //, ##, /*, --,A,Easy,Language Specific,C++,"cpp, comments"
19,Which of these is a valid TypeScript type annotation?,let name: string;, let name = string;, var string name;,let: name string;,A,Medium,Language Specific,TypeScript,"typescript, types, javascript"
20,What is the entry point of a C# application?,Start(),Run(), Main(), Launch(),C,Easy,Language Specific,C#,"csharp, main method"
21,Which keyword defines a function in Python?,func, define,def, function,C,Easy,Language Specific, Python Basics," python, functions"
22, What operator is used for concatenation in PHP?, +, ., &, ::,B,Easy,Language Specific,PHP," php, strings"
23,What keyword is used to define a function in Go?,def,func, function, lambda,B,Easy,Language Specific,Golang,"golang, functions"
24, Which HTML tag is used to define a hyperlink?, <link>, <a>, <href>, <url>,B,Easy,Web Development, HTML," html, hyperlink, anchor tag"
25,Which annotation is used to create a REST controller in Spring Boot?, @Controller, @RestService, @RestController,@Service,C,Medium,Web Development, Spring Boot,"springboot, annotations"
26,Which hook is used to manage state in functional React components?, useState,useEffect,useRef,useContext,A,Easy,Web Development, React," react, hooks"
27,Which command creates a new Django project?, django startapp mysite,django-admin startproject mysite, python startproject mysite,startproject django mysite,B,Medium,Web Development, Django," django, project setup"
28,Which method is the starting point of a Java application?,init(), run(), main(), start(),C,Easy,Language Specific,Java,"java, main method"
29, What method is used to define a route in Express.js?, app.use(), app.get(),express.route(),app.route(),B,Easy,Web Development,Express.js," express, routing"
30, Which keyword is used to handle exceptions in C#?, try-catch, handle, error,except,A,Easy,Language Specific, C#," csharp, exceptions"
31, Which command runs a Flask application?, flask go, flask run, flask start, flask execute,B,Easy,Web Development, Flask,"flask, commands"
32,What is the default file extension for TypeScript?,.ts,.js,.tsx,.tsc,A,Easy,Language Specific, TypeScript," typescript, file extension"
33,Which keyword starts a goroutine in Go?,go, goroutine, thread, async,A,Medium,Language Specific, Go,"golang, concurrency"
34, Which keyword is used to inherit a class in Java?,extends, implements, inherits,super,A,Easy,Object-Oriented Programming (OOP),Inheritance," java, oop"
35, What is a correct way to declare a constant in JavaScript?, var PI = 3.14;, constant PI = 3.14;, let PI = 3.14;, const PI = 3.14;,D,Easy,Language Specific, JavaScript,"javascript, const"
36, What annotation is used in Spring Boot to mark the main class?, @AppMain, @Start, @SpringApplication,@SpringBootApplication,D,Medium,Web Development, Spring Boot," springboot, annotations"
37,"In Django, what is the default database engine?",PostgreSQL,SQLite, MySQL, MongoDB,B,Easy,Web Development, Django," django, database"
38, Which symbol is used for single-line comments in C++?, #, //, --, %,B,Easy,Language Specific,C++,"cpp, comments"
39, Which keyword declares a block-scoped variable in JavaScript?,var,let, const,define,B,Easy,Language Specific, JavaScript," javascript, variables"
40, Which command builds a Docker image?, docker compile, docker build, docker make,docker run,B,Medium,Cloud, Docker," docker, build"
41, Which HTML tag is used to define a table row?,<td>, <tr>,<th>, <row>,B,Easy,Web Development, HTML," html, tables"
42, What annotation is used for dependency injection in Spring?,@Service, @Autowired, @Inject, @Resource,B,Medium,Web Development, Spring," spring, annotations"
43,TypeScript is a superset of which language?, Java,JavaScript, Python, C#,B,Easy,Language Specific,TypeScript," typescript, javascript"
44, What is the time complexity of binary search in a sorted array?, O(n), O(log n), O(n^2), O(1),B,Medium,Data Structures & Algorithms,Binary Search," binary search, time complexity"
45, What annotation is used to define a Spring bean?, @Component, @Service,@Bean, @Repository,A,Medium,Web Development,Spring," spring, annotations"
46,Which of the following is used to define a hyperlink in HTML?, <link>, <anchor>, <a>, <hyperlink>,C,Easy,Web Development, HTML," html, hyperlink"
47, Which method is used to create a new instance of a model in Rails?, create(), new(), init(), add(),B,Easy,Web Development, Ruby on Rails," ruby, rails"
48,"In Go, which of the following is used to create a new goroutine?", new(), go(), goroutine(), start(),B,Medium,Language Specific, Go," go, goroutines"
49, What is the correct way to declare a variable in JavaScript?, var variable, let variable, const variable, All of the above,D,Easy,Language Specific,JavaScript,"javascript, variable"
50, Which annotation is used to define a Spring Boot REST controller?, @Controller, @RestController, @Service, @Component,B,Medium,Web Development,Spring Boot," spring, rest, controller"
51, How do you create a comment in HTML?, <!-- This is a comment -->, // This is a comment, /* This is a comment */, # This is a comment,A,Easy,Web Development, HTML," html, comment"
52, Which annotation is used to mark a service in Spring?, @Service, @Controller, @Component,@Repository,A,Medium,Web Development, Spring Boot,"spring, service"
53, Which of the following is used to define a class in C#?,class MyClass {},class MyClass() {}, MyClass class {}, MyClass: class {},A,Medium,Language Specific,C#," c#, class"
