user_id,expertise_level,years_of_experience,familiar_technologies
1,Beginner,1,"Java, HTML, CSS"
2,Intermediate,2,"Python, SQL, JavaScript"
3,Advanced,5," C#, AWS, Node.js"
4,Intermediate,3,"Java, React, SQL"
5,Beginner,1," JavaScript, HTML, CSS"
6,Beginner,1," HTML, CSS, JavaScript"
7,Intermediate,3,"Python, Flask, MySQL, Git"
8,Advanced,6,"Java, Spring Boot, Docker, AWS, Kubernetes"
9,Intermediate,2," C++, Python, Git, Linux"
10,Beginner,1,"Python, HTML, CSS"
11,Intermediate,3," Java, Spring Boot, SQL"
12,Advanced,6,"JavaScript, Node.js, React, MongoDB"
13,Intermediate,2,"C, C++, Data Structures"
14,Beginner,1,"HTML, CSS, JavaScript"
15,Intermediate,3," Java, Spring Boot, MySQL"
16,Advanced,5," Python, AWS, Docker, Kubernetes"
17,Intermediate,2," React, Node.js, MongoDB"
18,Beginner,1," C++, Git"
19,Intermediate,3,"JavaScript, TypeScript, Node.js"
20,Advanced,6," C#, .NET, Azure, SQL Server"
21,Beginner,1," Python, Flask, SQLite"
22,Intermediate,4,"PHP, Laravel, MySQL"
23,Advanced,7," Go, Kubernetes, PostgreSQL"
24,Beginner,1," HTML, CSS, JavaScript"
25,Intermediate,3,"Java, Spring Boot, MySQL"
26,Advanced,5," React, Redux, TypeScript"
27,Intermediate,4,"Python, Django, PostgreSQL"
28,Beginner,2," Java, JavaFX, SQLite"
29,Intermediate,3,"Node.js, Express.js, MongoDB"
30,Advanced,6," C#, .NET Core, SQL Server"
31,Beginner,1," Python, Flask, SQLite"
32,Intermediate,4," Angular, TypeScript, Firebase"
33,Advanced,7," Go, Kubernetes, Docker"
34,Beginner,1,"Java, MySQL, HTML"
35,Intermediate,3," JavaScript, React, PostgreSQL"
36,Advanced,8," Java, Spring Boot, AWS"
37,Intermediate,4,"Python, Django, PostgreSQL"
38,Beginner,2," C++, Git, Linux"
39,Intermediate,3," JavaScript, Node.js, MongoDB"
40,Advanced,6," Python, Flask, Docker"
41,Beginner,1," HTML, CSS, Git"
42,Intermediate,3,"Java, Spring Boot, MySQL"
43,Advanced,7,"TypeScript, Angular, Firebase"
44,Intermediate,3,"C++, Python, SQL"
45,Advanced,5,"Java, Spring, Hibernate, AWS"
46,Beginner,1," HTML, CSS, JavaScript"
47,Intermediate,4,"Ruby, Rails, PostgreSQL"
48,Advanced,6," Go, Docker, Kubernetes"
49,Intermediate,3," JavaScript, Node.js, MongoDB"
50,Advanced,5,"Java, Spring Boot, PostgreSQL"
51,Beginner,2," HTML, CSS, Python"
52,Intermediate,3,"Java, MySQL, Spring Boot"
53,Advanced,7," C#, .NET, SQL Server"
54,Intermediate,4,"Python, Django, PostgreSQL"
55,Beginner,2," HTML, CSS, JavaScript"
56,Advanced,6,"C++, SQL, MongoDB"
57,Intermediate,4," Ruby, Rails, PostgreSQL"
58,Advanced,8," Java, Spring Boot, MySQL"
59,Beginner,1,"HTML, CSS, JavaScript"
60,Intermediate,3,"JavaScript, Node.js, MongoDB"
61,Advanced,7," Python, Flask, PostgreSQL"
62,Intermediate,5," Ruby, Rails, PostgreSQL"
63,Advanced,8,"Java, Spring Boot, MySQL"
64,Beginner,0,"HTML, CSS, JavaScript, MySQL"
65,Intermediate,1,"Python, Django, PostgreSQL, AWS"
66,Advanced,4,"Java, Spring Boot, Kubernetes, MySQL, Docker"
67,Beginner,0,"Python, HTML, CSS"
68,Intermediate,2,"Node.js, React, MongoDB, Firebase"
69,Intermediate,2,"Angular, TypeScript, Node.js, SQL"
70,Beginner,0,"HTML, CSS, Python"
71,Advanced,5,"Go, Kubernetes, Terraform, GCP"
72,Beginner,0,"Java, HTML, SQL"
73,Intermediate,3,"PHP, Laravel, MySQL, Vue.js"
74,Intermediate,2,"React, Node.js, PostgreSQL, Docker"
75,Beginner,0,"Python, HTML, CSS"
76,Advanced,6,"Java, Spring Boot, Kafka, MongoDB"
77,Intermediate,3,"C#, .NET Core, SQL Server, Azure"
78,Beginner,1,"JavaScript, MySQL, Bootstrap"
79,Intermediate,3,"Angular, TypeScript, Firebase, MySQL"
80,Beginner,0,"HTML, CSS, Python"
81,Advanced,7,"Java, Spring Boot, AWS, Redis"
82,Intermediate,2,"PHP, Laravel, MySQL"
83,Beginner,1,"JavaScript, Git, Tailwind CSS"
84,Intermediate,2,"Java, Spring Boot, MySQL, Git"
85,Beginner,0,"HTML, CSS, JavaScript"
86,Advanced,5,"Python, Django, PostgreSQL, Docker"
87,Intermediate,3,"React, Node.js, MongoDB, AWS"
88,Beginner,1,"C, C++, MySQL"
89,Intermediate,2,"JavaScript, Node.js, MongoDB, React"
90,Beginner,1,"Python, HTML, CSS"
91,Advanced,5,"Java, Spring Boot, AWS, MySQL"
92,Beginner,0,"C, Python"
93,Intermediate,3,"Angular, .NET, SQL Server, Azure"
94,Intermediate,2,"Java, Spring, MySQL"
95,Beginner,1,"JavaScript, HTML, CSS"
96,Advanced,6,"Python, Django, PostgreSQL, AWS"
97,Beginner,1," C++, Data Structures"
98,Intermediate,3,"Node.js, Express, MongoDB"
99,Intermediate,3,"React, JavaScript, REST APIs"
100,Beginner,1,"Python, Git"
101,Advanced,7,"Kubernetes, Docker, AWS"
102,Intermediate,3,"Java, Spring Boot"
103,Beginner,1,"HTML, CSS"
104,Intermediate,3,"Node.js, MongoDB, Express.js"
105,Beginner,1,"Python, Pandas"
106,Advanced,6,".NET, C#"
107,Intermediate,4,"SQL, PostgreSQL"
108,Beginner,1,"JavaScript, HTML"
109,Intermediate,3,"Java, Spring Boot"
110,Beginner,1," HTML, CSS"
111,Advanced,7,"AWS, Docker, Kubernetes"
112,Intermediate,2," Python, Flask"
113,Beginner,1,"SQL, Excel"
